brand,all_vegan,partial_vegan,bad_parent_company,black_owned,ulta,sephora,beauty_bay,cult_beauty,nordstrom
jouer,False,True,False,False,0,0,0,0,1
jouer cosmetics,False,True,False,False,0,1,1,1,0
joëlle ciocco paris,False,False,False,False,0,0,0,0,0
juice beauty,True,False,False,False,1,0,0,0,0
jusu body,False,False,False,False,0,0,0,0,0
khus+khus modern herbal fusion,False,False,False,False,0,0,0,0,0
kkw beauty,False,False,True,False,1,0,0,0,0
kkw fragrance,False,False,True,False,1,0,0,0,0
kora organics,False,False,False,False,0,1,0,0,0
korres,False,False,False,False,1,1,0,0,0
kps essentials,False,False,False,False,0,0,0,0,0
kvd beauty (formerly kvd vegan beauty and kat von d beauty),True,False,False,False,1,1,0,0,0
leahlani skincare,False,False,False,False,0,0,0,0,0
kvoss,True,False,False,False,0,0,0,0,0
kypris,False,False,False,False,0,0,0,0,1
kaeng raeng,True,False,False,False,0,0,0,0,0
kahina giving beauty,False,False,False,False,0,0,0,0,0
kaia naturals,False,False,False,False,0,0,0,0,0
kalon kosmetics,False,False,False,True,0,0,0,0,0
kani botanicals,True,False,False,False,0,0,0,0,0
kaplan md skincare,False,False,False,False,0,0,0,0,0
kapuluan coconut,False,False,False,False,0,0,0,0,0
kate ryan skincare,False,False,False,False,0,0,0,0,0
katherine cosmetics,False,False,False,False,0,0,0,0,0
kavella haircare,True,False,False,False,0,0,0,0,0
kelley quan,True,False,False,False,0,0,0,0,0
kester black,True,False,False,False,0,0,0,0,0
kett cosmetics,False,False,False,False,0,0,0,0,0
key west aloe,True,False,False,False,0,0,0,0,0
keys soulcare,False,False,False,False,1,0,0,0,0
kimberly parry organics,False,False,False,False,0,0,0,0,0
kinship,False,False,False,False,1,0,0,0,0
kirei cosmetics,True,False,False,False,0,0,0,0,0
kiss my face,False,False,False,False,0,0,0,0,0
kitaka of london,False,False,False,True,0,0,0,0,0
kitsch,True,False,False,False,1,1,1,0,0
klarity kosmetics,False,False,False,True,0,0,0,0,0
klo organic beauty,True,False,False,False,0,0,0,0,0
kneipp,False,False,False,False,0,0,0,0,0
ko & humble,True,False,False,False,0,0,0,0,0
koh gen do,False,False,False,False,0,1,0,0,1
kopari,False,True,False,False,1,1,0,1,1
kopari beauty,False,False,False,False,0,0,0,0,0
kosas,False,False,False,False,0,1,0,1,1
kosas cosmetics,False,False,False,False,0,0,0,0,0
kosia,True,False,False,False,0,0,0,0,0
krave beauty,True,False,False,False,0,0,0,0,0
kristin ess,False,False,False,False,0,0,0,0,0
kylie cosmetics,False,False,True,False,1,0,0,0,0
kylie skin,True,False,True,False,1,0,0,0,1
laia skincare,True,False,False,False,0,0,0,0,0
lavanila,False,False,False,False,1,1,0,0,0
lh cosmetics (linda hallberg cosmetics),False,False,False,False,0,0,0,0,0
lvx,True,False,False,False,0,0,0,0,0
lxmi,True,False,False,False,0,1,0,0,0
lys beauty,True,False,False,True,0,1,0,0,0
la couleur couture (lacc),True,False,False,False,0,0,0,0,0
la fresh eco beauty,False,False,False,False,0,0,0,0,0
lalila beauty,False,False,False,False,0,0,0,0,0
lamain beauty,False,False,False,True,0,0,0,0,0
lamik beauty,False,False,False,True,0,0,0,0,0
lather,False,False,False,False,0,0,0,0,0
laurel whole plant organics,False,False,False,False,0,0,0,0,0
lauren b. beauty,True,False,False,False,0,0,0,0,0
lauren brooke cosmetiques,False,False,False,False,0,0,0,0,0
laurmé skin care,False,False,False,False,0,0,0,0,0
lawless,False,False,False,False,0,1,0,0,0
leaf people,False,False,False,False,0,0,0,0,0
legendary apothecary,True,False,False,False,0,0,0,0,0
leilano beauty,False,False,False,True,0,0,0,0,0
lethal cosmetics,True,False,False,False,0,0,0,0,0
let’s put a bird on it,True,False,False,False,0,0,0,0,0
lewin & reilly,False,False,False,False,0,0,0,0,0
light mountain natural hair color,True,False,False,False,0,0,0,0,0
lily lolo,False,False,False,False,0,0,0,0,0
lime crime,True,False,False,False,1,0,0,1,1
lina hanson,True,False,False,False,0,0,0,0,0
linda hallberg cosmetics,False,False,False,False,0,0,1,0,0
lip glosserie,True,False,False,False,0,0,0,0,0
lippy girl,False,False,False,False,0,0,0,0,0
little moon essentials,False,False,False,False,0,0,0,0,0
live tinted,True,False,False,False,0,0,0,0,0
loa skin care,True,False,False,False,0,0,0,0,0
logona,False,False,True,False,0,0,0,0,0
lolavie,True,False,False,False,0,0,0,0,0
loola cosmetics,False,False,False,True,0,0,0,0,0
lord & berry,False,False,False,False,0,0,0,0,0
lotus wei,False,False,False,False,0,0,0,0,0
lovegrove essentials,True,False,False,False,0,0,0,0,0
lovesong beauty,True,False,False,False,0,0,0,0,0
lovetica beauty,False,False,False,False,0,0,0,0,0
loving tan,True,False,False,False,1,0,0,0,0
lulu blossom,False,False,False,False,0,0,0,0,0
luna nectar,False,False,False,False,0,0,0,0,0
luna oil organics,True,False,False,False,0,0,0,0,0
lunatick cosmetic labs,True,False,False,False,0,0,0,0,0
